GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,TagSupplierFactoryAdapter.new Supplier() {...},0,35,0,0,0,6,0,4,0,4
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,HtmlElementConsumerFactoryAdapter.new Consumer() {...},21,0,0,0,5,0,4,0,4,0
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,PageSupplierFactoryAdapter.new Function() {...},26,141,2,10,4,24,2,8,0,4
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,HtmlAdapterFactory,0,57,0,0,0,14,0,2,0,2
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,ScriptSupplierFactoryAdapter,37,0,0,0,7,0,3,0,3,0
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,TagSupplierFactoryAdapter,0,11,0,0,0,3,0,2,0,2
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,HtmlElementAdapter.new Function() {...},5,67,1,5,1,13,1,6,0,4
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,PageSupplierFactoryAdapter,7,72,2,0,1,12,2,3,1,3
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,HtmlElementConsumerFactoryAdapter,32,0,2,0,8,0,6,0,5,0
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,ListSupplierFactoryAdapter,258,0,32,0,51,0,24,0,8,0
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,HtmlGenObjectLoaderExecutionParticipant,0,25,0,0,0,7,0,3,0,3
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,HtmlElementAdapter,22,97,5,3,5,20,4,7,1,6
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,ScriptSupplierFactoryAdapter.new Function() {...},40,0,0,0,7,0,4,0,4,0
Nasdanika HTML Model Generation Adapters,org.nasdanika.html.model.html.gen,HtmlElementSupplierFactoryAdapter,7,16,2,0,1,4,2,2,1,2
